iter	Passed	Remaining
0	3357	2347106
1	6608	2306202
2	9128	2120778
3	12368	2152099
4	15146	2105399
5	18228	2108446
6	21426	2121176
7	24697	2136341
8	27495	2111048
9	30318	2092009
10	33152	2076531
11	36169	2073739
12	38995	2060783
13	41212	2019408
14	44056	2011927
15	47063	2011977
16	49929	2005994
17	53209	2016065
18	55653	1994727
19	58709	1996131
20	61437	1986486
21	63999	1972357
22	66829	1967100
23	69894	1968689
24	73131	1974542
25	75720	1962917
26	78653	1960520
27	81477	1955459
28	84224	1948778
29	87240	1948380
30	89793	1937801
31	93067	1942778
32	96046	1941311
33	99080	1940811
34	102359	1944826
35	105155	1939542
36	108510	1944382
37	111409	1940864
38	114207	1935666
39	117040	1931171
40	119804	1925641
41	123155	1929437
42	126111	1926862
43	128996	1923222
44	132112	1922967
45	135045	1919993
46	138107	1918809
47	141033	1915701
48	143810	1910631
49	146587	1905641
50	149445	1901766
51	152521	1900654
52	155413	1897217
53	158409	1895042
54	161144	1889785
55	164143	1887652
56	166852	1882210
57	169245	1873374
58	171851	1867064
59	174429	1860581
60	177388	1858216
61	180025	1852515
62	182757	1847883
63	185353	1841951
64	187936	1835990
65	190828	1833108
66	193397	1827170
67	196070	1822298
68	198884	1818786
69	201485	1813365
70	204428	1811061
71	207261	1807783
72	210081	1804401
73	212573	1798255
74	215425	1795208
75	218058	1790373
76	220959	1787763
77	223649	1783460
78	226051	1776940
79	228779	1773043
80	231894	1772129
81	234420	1766733
82	237103	1762567
83	241312	1769627
84	244225	1767045
85	247655	1768143
86	250183	1762788
87	253220	1761035
88	256472	1760728
89	259900	1761547
90	263029	1760273
91	266344	1760191
92	269598	1759638
93	273134	1760847
94	276561	1761261
95	279903	1761059
96	282840	1758277
97	286179	1757961
98	289868	1759708
99	293515	1761092
100	296797	1760214
101	299656	1756810
102	302778	1754937
103	305854	1752784
104	309182	1752033
105	312553	1751478
106	315378	1747844
107	318442	1745538
108	321553	1743469
109	324567	1740864
110	327987	1740401
111	330926	1737365
112	334254	1736348
113	337483	1734782
114	340940	1734347
115	344051	1732123
116	347220	1730168
117	350464	1728563
118	353777	1727267
119	356864	1724844
120	360214	1723670
121	363235	1720904
122	366527	1719402
123	370070	1719035
124	373823	1719588
125	377175	1718244
126	380339	1716021
127	383628	1714341
128	387009	1713043
129	389927	1709682
130	393366	1708591
131	396695	1706994
132	400006	1705289
133	403534	1704481
134	406602	1701705
135	409522	1698313
136	412940	1696974
137	415898	1693730
138	419407	1692715
139	422995	1691982
140	426184	1689625
141	429545	1687931
142	432790	1685763
143	436214	1684273
144	439526	1682325
145	442984	1680912
146	446439	1679461
147	449995	1678360
148	453527	1677138
149	456849	1675115
150	460327	1673640
151	463462	1670903
152	466357	1667304
153	469531	1664703
154	472530	1661478
155	476136	1660373
156	479776	1659353
157	483173	1657467
158	486604	1655678
159	489693	1652714
160	492955	1650328
161	496636	1649324
162	500440	1648689
163	503988	1647183
164	507388	1645168
165	510823	1643250
166	514028	1640582
167	517276	1638043
168	520895	1636660
169	524347	1634729
170	527698	1632469
171	531256	1630834
172	534767	1629031
173	538063	1626560
174	541750	1625252
175	545011	1622647
176	548103	1619537
177	551271	1616649
178	554589	1614195
179	557159	1609572
180	560508	1607203
181	563726	1604452
182	567014	1601892
183	570088	1598725
184	573349	1596081
185	576918	1594280
186	579493	1589732
187	582346	1585964
188	585387	1582714
189	588770	1580383
190	592196	1578156
191	595199	1574797
192	598793	1572997
193	602000	1570165
194	605405	1567846
195	608857	1565634
196	612216	1563171
197	615826	1561338
198	619250	1559017
199	622869	1557172
200	626080	1554299
201	629163	1551105
202	632229	1547871
203	635557	1545276
204	638940	1542807
205	642323	1540329
206	645763	1537978
207	648767	1534584
208	652132	1532043
209	655220	1528847
210	658210	1525426
211	661713	1523189
212	665125	1520732
213	668753	1518757
214	672076	1516080
215	675312	1513200
216	678077	1509268
217	681694	1507232
218	685377	1505326
219	688731	1502687
220	692146	1500173
221	695368	1497234
222	698833	1494814
223	702208	1492193
224	705479	1489344
225	708665	1486316
226	711985	1483564
227	715094	1480371
228	718709	1478219
229	721923	1475234
230	725146	1472267
231	728313	1469183
232	731655	1466451
233	735067	1463852
234	738628	1461541
235	741589	1458040
236	744682	1454801
237	748079	1452154
238	751366	1449288
239	754605	1446326
240	757886	1443443
241	761312	1440831
242	764524	1437808
243	768043	1435359
244	771439	1432672
245	775006	1430296
246	778172	1427175
247	781771	1424840
248	785425	1422597
249	788726	1419707
250	792080	1416909
251	795463	1414157
252	798880	1411460
253	802284	1408736
254	805683	1405997
255	808842	1402835
256	812508	1400549
257	815538	1397162
258	818943	1394417
259	822479	1391887
260	825687	1388800
261	829128	1386099
262	832167	1382726
263	835184	1379320
264	838129	1375797
265	841327	1372692
266	844288	1369201
267	847251	1365718
268	850792	1363166
269	853917	1359942
270	857292	1357116
271	860371	1353820
272	863816	1351097
273	867078	1348085
274	870630	1345519
275	873890	1342498
276	877155	1339483
277	880261	1336224
278	883649	1333392
279	887388	1331083
280	890486	1327807
281	893648	1324627
282	896931	1321627
283	899950	1318237
284	903211	1315202
285	906521	1312237
286	909944	1309432
287	913163	1306330
288	916312	1303129
289	919474	1299947
290	922422	1296463
291	925872	1293684
292	929355	1290947
293	932706	1288023
294	935824	1284776
295	938979	1281580
296	942517	1278904
297	945636	1275657
298	949047	1272803
299	952029	1269372
300	955565	1266679
301	958557	1263265
302	961837	1260229
303	964949	1256974
304	968075	1253736
305	971306	1250636
306	974631	1247655
307	978102	1244858
308	981415	1241855
309	984858	1239015
310	988114	1235936
311	991413	1232911
312	994802	1229995
313	997668	1226433
314	1000783	1223179
315	1004431	1220575
316	1007444	1217196
317	1010567	1213951
318	1013515	1210499
319	1016747	1207387
320	1020342	1204702
321	1023683	1201715
322	1027162	1198886
323	1029815	1195095
324	1033378	1192359
325	1036438	1189042
326	1039282	1185481
327	1042959	1182869
328	1046127	1179675
329	1049516	1176730
330	1051967	1172736
331	1054942	1169333
332	1058031	1166059
333	1061168	1162837
334	1064394	1159712
335	1067748	1156727
336	1070999	1153628
337	1074300	1150581
338	1077420	1147341
339	1080871	1144452
340	1084432	1141675
341	1087842	1138735
342	1091202	1135740
343	1094576	1132759
344	1097851	1129673
345	1100993	1126450
346	1104599	1123699
347	1108064	1120800
348	1111314	1117682
349	1114484	1114484
350	1117835	1111465
351	1121038	1108299
352	1123873	1104771
353	1127143	1101671
354	1130087	1098253
355	1133130	1094934
356	1135917	1091371
357	1139292	1088373
358	1142369	1085091
359	1145798	1082143
360	1149015	1078992
361	1152495	1076086
362	1156080	1073275
363	1159505	1070313
364	1162805	1067232
365	1166177	1064216
366	1169402	1061065
367	1172512	1057809
368	1175815	1054728
369	1178870	1051425
370	1182137	1048310
371	1185148	1044969
372	1188235	1041697
373	1191312	1038416
374	1194995	1035663
375	1198380	1032647
376	1201298	1029229
377	1204452	1026014
378	1207819	1022981
379	1210832	1019648
380	1214310	1016706
381	1217695	1013683
382	1220949	1010550
383	1224167	1007388
384	1227440	1004269
385	1230683	1001126
386	1233825	997900
387	1237454	995066
388	1240693	991916
389	1243737	988611
390	1246921	985418
391	1250079	982205
392	1253721	979370
393	1256980	976233
394	1260229	973088
395	1263711	970122
396	1267209	967164
397	1270260	963866
398	1273419	960649
399	1276867	957650
400	1280009	954421
401	1283514	951460
402	1286709	948269
403	1290196	945292
404	1293373	942086
405	1296523	938862
406	1299771	935707
407	1302733	932348
408	1305999	929207
409	1309115	925960
410	1312469	922880
411	1315540	919600
412	1318958	916564
413	1322136	913359
414	1325627	910370
415	1329026	907316
416	1332706	904450
417	1336340	901550
418	1339493	898323
419	1342810	895207
420	1345804	891875
421	1348971	888659
422	1351981	885339
423	1355050	882060
424	1358408	878970
425	1361725	875851
426	1365312	872904
427	1368838	869916
428	1372360	866922
429	1375723	863826
430	1378787	860542
431	1381394	856976
432	1384459	853696
433	1387774	850571
434	1391176	847498
435	1394773	844541
436	1398139	841443
437	1401441	838305
438	1404283	834893
439	1407324	831600
440	1410681	828495
441	1413795	825247
442	1417196	822166
443	1420410	818975
444	1423945	815969
445	1426898	812628
446	1430482	809646
447	1433479	806332
448	1436826	803215
449	1440261	800145
450	1443860	797164
451	1446715	793773
452	1450017	790627
453	1453447	787550
454	1456936	784504
455	1460365	781423
456	1463432	778148
457	1467002	775141
458	1470516	772101
459	1474090	769090
460	1477360	765919
461	1480591	762728
462	1484081	759670
463	1487368	756506
464	1490746	753387
465	1494136	750274
466	1497417	747105
467	1500774	743973
468	1504212	740880
469	1507931	737923
470	1511163	734727
471	1514135	731404
472	1517298	728175
473	1520580	725002
474	1524181	721980
475	1527329	718743
476	1530575	715551
477	1534077	712479
478	1537339	709294
479	1540931	706260
480	1544376	703157
481	1547693	699994
482	1551182	696908
483	1554307	693658
484	1557641	690501
485	1560793	687262
486	1564275	684169
487	1567546	680983
488	1571093	677915
489	1574532	674799
490	1578157	671761
491	1581533	668615
492	1585165	665576
493	1588172	662274
494	1590945	658876
495	1594269	655707
496	1597666	652567
497	1600709	649283
498	1604226	646191
499	1607158	642863
500	1610281	639612
501	1613756	636501
502	1616992	633295
503	1620174	630067
504	1623698	626972
505	1627082	623821
506	1630188	620564
507	1633397	617347
508	1636471	614078
509	1639700	610868
510	1642889	607644
511	1646199	604463
512	1649307	601209
513	1652740	598073
514	1656310	594985
515	1659738	591844
516	1663035	588656
517	1666220	585428
518	1669663	582291
519	1672837	579059
520	1676011	575827
521	1678989	572528
522	1682340	569358
523	1685646	566171
524	1689556	563185
525	1692716	559948
526	1696100	556784
527	1699269	553549
528	1702774	550424
529	1705925	547183
530	1709083	543945
531	1712693	540850
532	1716290	537749
533	1719828	534628
534	1723494	531544
535	1726858	528367
536	1730048	525135
537	1733008	521835
538	1736201	518605
539	1739455	515394
540	1742935	512249
541	1746170	509031
542	1749300	505783
543	1752604	502585
544	1755921	499390
545	1759179	496178
546	1762576	493005
547	1765665	489746
548	1769341	486649
549	1772765	483481
550	1776274	480335
551	1779731	477174
552	1782997	473961
553	1786101	470705
554	1789427	467508
555	1792744	464307
556	1796355	461182
557	1799385	457908
558	1802638	454690
559	1805904	451476
560	1809572	448361
561	1812899	445160
562	1816301	441977
563	1819643	438779
564	1822903	435561
565	1826468	432414
566	1829988	429256
567	1832894	425954
568	1836105	422723
569	1839304	419490
570	1842603	416279
571	1845584	412997
572	1849035	409821
573	1852244	406590
574	1855054	403272
575	1857606	399901
576	1860926	396696
577	1864363	393516
578	1867982	390372
579	1871362	387178
580	1874633	383961
581	1877886	380739
582	1881366	377564
583	1884348	374288
584	1887839	371113
585	1891191	367910
586	1894145	364631
587	1897751	361476
588	1900988	358250
589	1904504	355077
590	1907755	351853
591	1911139	348653
592	1914521	345453
593	1917854	342243
594	1921107	339018
595	1924455	335811
596	1927973	332631
597	1931117	329387
598	1934706	326219
